car_id,listed_date,city,brand,model,year,mileage_km,fuel_type,transmission,engine_l,owners_count,accident_history,condition,color,seller_type,service_records,warranty_months,price_sar
CR-70000,2026-04-25,Khobar,Kia,Sportage,2020,106779.0,Petrol,Automatic,2.0,2,0,Good,Silver,Dealer,1,0,62900
CR-70001,2026-06-27,Jeddah,BMW,5 Series,2025,21421.0,Petrol,Automatic,3.0,3,0,Excellent,Black,Dealer,1,12,255200
CR-70002,2026-04-10,Tabuk,Kia,Sportage,2013,240796.0,Hybrid,Automatic,2.0,1,0,Good,Silver,Dealer,1,0,25700
CR-70003,2026-04-26,Jeddah,Chevrolet,Malibu,2020,119963.0,Petrol,Automatic,1.5,3,0,Excellent,Black,Auction,1,24,38300
CR-70004,2026-07-26,Khobar,Kia,Cerato,2013,242732.0,Petrol,Automatic,2.0,2,1,Good,White,Auction,0,24,18000
CR-70005,2026-04-13,Tabuk,Toyota,Corolla,2024,45585.0,Petrol,Automatic,1.6,3,1,Fair,Gray,Private,1,0,42700
CR-70006,2026-04-15,Dammam,Nissan,Altima,2017,165330.0,Petrol,Automatic,2.0,2,0,Fair,Silver,Dealer,1,12,27900
CR-70007,2026-04-04,Khobar,Honda,Civic,2020,98004.0,Petrol,Automatic,2.0,3,0,Excellent,Silver,Private,1,0,45000
CR-70008,2026-07-09,Khobar,GMC,Yukon,2023,76793.0,Petrol,Automatic,6.2,1,1,Excellent,Blue,Dealer,1,0,212400
CR-70009,2026-04-04,Abha,Kia,Sportage,2014,218701.0,Diesel,Automatic,1.6,2,0,Good,White,Private,1,0,22800
CR-70010,2026-05-25,Riyadh,BMW,5 Series,2012,264756.0,Petrol,Automatic,2.0,2,1,Good,Blue,Dealer,0,12,41600
CR-70011,2026-06-30,Jeddah,Chevrolet,Tahoe,2015,219394.0,Petrol,Automatic,5.3,2,0,Good,White,Dealer,0,0,76200
CR-70012,2026-04-29,Riyadh,Toyota,Corolla,2013,238238.0,Petrol,Automatic,1.8,1,0,Excellent,Blue,Dealer,1,0,20900
CR-70013,2026-04-30,Dammam,Nissan,Patrol,2024,,Petrol,Automatic,4.0,1,0,Fair,Black,Dealer,0,6,249500
CR-70014,2026-05-08,Jeddah,GMC,Yukon,2015,181542.0,Petrol,Automatic,6.2,1,0,Excellent,White,Dealer,1,0,108100
CR-70015,2026-05-05,Dammam,Hyundai,Sonata,2024,14436.0,Petrol,Automatic,2.0,2,1,Excellent,Black,Dealer,0,0,66500
CR-70016,2026-04-20,Abha,Nissan,Patrol,2020,113937.0,Petrol,Automatic,4.0,1,0,Good,White,Private,1,12,158900
CR-70017,2026-07-07,Riyadh,Toyota,Hilux,2014,233687.0,Petrol,Automatic,,2,0,Good,Gray,Private,1,0,33200
CR-70018,2026-05-13,Madinah,Hyundai,Elantra,2021,111734.0,Petrol,Automatic,1.6,3,0,Excellent,White,Auction,1,0,33700
CR-70019,2026-06-11,Makkah,Mercedes-Benz,E-Class,2016,184076.0,Diesel,Manual,3.0,1,0,Good,White,Dealer,1,0,95700
CR-70020,2026-04-06,Jeddah,Mercedes-Benz,E-Class,2016,184518.0,Diesel,Automatic,2.0,1,0,Fair,Red,Dealer,0,0,81100
CR-70021,2026-05-11,Jeddah,Kia,Sportage,2013,237537.0,Petrol,Automatic,1.6,1,0,Excellent,White,Dealer,1,0,25900
CR-70022,2026-06-02,Khobar,Chevrolet,Tahoe,2021,92129.0,Petrol,Automatic,6.2,4,0,Excellent,Gray,Dealer,1,0,173900
CR-70023,2026-05-09,Jeddah,GMC,Yukon,2012,274268.0,Diesel,Automatic,5.3,2,0,Excellent,White,Dealer,1,0,65100
CR-70024,2026-04-13,Madinah,Chevrolet,Malibu,2022,82957.0,Petrol,Manual,2.0,3,0,Excellent,,Dealer,1,0,48800
CR-70025,2026-07-19,Riyadh,Kia,Cerato,2012,258784.0,Petrol,Automatic,2.0,4,1,Excellent,Black,Private,1,0,18000
CR-70026,2026-05-24,Tabuk,Mercedes-Benz,E-Class,2016,197589.0,Petrol,Automatic,3.0,2,0,Excellent,Silver,Private,1,0,91400
CR-70027,2026-06-05,Tabuk,Chevrolet,Tahoe,2025,,Petrol,Automatic,6.2,2,0,Excellent,Gray,Private,1,6,251700
CR-70028,2026-06-27,Riyadh,Kia,Sportage,2017,168545.0,Hybrid,Automatic,2.0,1,0,Excellent,Brown,Dealer,0,0,45800
CR-70029,2026-07-27,Tabuk,Hyundai,Elantra,2015,190756.0,Petrol,Automatic,2.0,1,0,Good,Red,Dealer,1,0,22000
CR-70030,2026-05-23,Madinah,Chevrolet,Tahoe,2015,198835.0,Petrol,Automatic,5.3,1,1,Excellent,Black,Auction,1,0,69500
CR-70031,2026-04-16,Makkah,Toyota,Corolla,2025,9020.0,Petrol,Automatic,1.6,1,1,Excellent,White,Private,1,0,71400
CR-70032,2026-07-01,Khobar,Ford,Explorer,2025,27628.0,Petrol,Automatic,3.0,2,0,Excellent,White,Dealer,1,12,191100
CR-70033,2026-05-21,Tabuk,Mazda,CX-5,2017,167726.0,Hybrid,Automatic,2.0,1,0,Good,White,Dealer,1,0,47200
CR-70034,2026-05-17,Makkah,Honda,Accord,2018,135900.0,Diesel,Automatic,2.0,2,0,Good,Silver,Auction,1,0,43000
CR-70035,2026-06-26,Madinah,Toyota,Camry,2016,,Hybrid,Automatic,2.5,1,0,Fair,Silver,Dealer,1,24,41400
